link,title
/wiki/DreamWorks,DreamWorks Pictures
#cite_note-shr2-50,50
/wiki/2005_no_cinema,2005
/wiki/Harry_Potter_e_o_C%C3%A1lice_de_Fogo_(filme),Harry Potter and the Goblet of Fire
/wiki/Warner_Bros._Pictures,Warner Bros. Pictures
#cite_note-51,51
/wiki/2007_no_cinema,2007
/wiki/Homem-Aranha_3,Spider-Man 3
/wiki/Columbia_Pictures,Columbia Pictures
#cite_note-52,52
/wiki/2009_no_cinema,2009
/wiki/Ice_Age:_Dawn_of_the_Dinosaurs,Ice Age: Dawn of the Dinosaurs
/wiki/20th_Century_Fox,20th Century Fox
#cite_note-icea3-53,53
/wiki/2015_no_cinema,2015
/wiki/SPECTRE_(filme),Spectre
/wiki/Columbia_Pictures,Columbia Pictures
#cite_note-54,54
/wiki/2017_no_cinema,2017
/wiki/Spider-Man:_Homecoming,Spider-Man: Homecoming
/wiki/Columbia_Pictures,Columbia Pictures
#cite_note-55,55
/wiki/2002_no_cinema,2002
/wiki/Harry_Potter_and_the_Chamber_of_Secrets_(filme),Harry Potter and the Chamber of Secrets
/wiki/Warner_Bros._Pictures,Warner Bros. Pictures
#cite_note-icea4-56,56
/wiki/2012_no_cinema,2012
/wiki/Ice_Age:_Continental_Drift,Ice Age: Continental Drift
/wiki/20th_Century_Fox,20th Century Fox
#cite_note-:Aaou-57,57
/wiki/2016_no_cinema,2016
/wiki/The_Secret_Life_of_Pets,The Secret Life of Pets
/wiki/Universal_Pictures,Universal Pictures
#cite_note-58,58
/wiki/2016_no_cinema,2016
/wiki/Batman_v_Superman:_Dawn_of_Justice,Batman v Superman: Dawn of Justice
/wiki/Warner_Bros._Pictures,Warner Bros. Pictures
#cite_note-59,59
/wiki/2001_no_cinema,2001
/wiki/The_Lord_of_the_Rings:_The_Fellowship_of_the_Ring,The Lord of the Rings: The Fellowship of the Ring
/wiki/New_Line_Cinema,New Line Cinema
#cite_note-60,60
/wiki/2017_no_cinema,2017
/wiki/Wolf_Warriors_2,Wolf Warriors 2
#cite_note-61,61
/wiki/2013_no_cinema,2013
/wiki/The_Hunger_Games:_Catching_Fire,The Hunger Games: Catching Fire
/wiki/Lions_Gate_Entertainment,Lionsgate Films
#cite_note-62,62
/wiki/2017_no_cinema,2017
/wiki/Guardi%C3%B5es_da_Gal%C3%A1xia_Vol._2,Guardians of the Galaxy Vol. 2
/wiki/Walt_Disney_Studios_Motion_Pictures,Walt Disney Studios Motion Pictures
#cite_note-gotg-63,63
/wiki/2015_no_cinema,2015
/wiki/Inside_Out_(2015),Inside Out
/wiki/Walt_Disney_Studios_Motion_Pictures,Walt Disney Studios Motion Pictures
#cite_note-dmnt-64,64
/wiki/2017_no_cinema,2017
/wiki/Thor:_Ragnarok,Thor: Ragnarok
/wiki/Walt_Disney_Studios_Motion_Pictures,Walt Disney Studios Motion Pictures
#cite_note-65,65
/wiki/2005_no_cinema,2005
/wiki/Star_Wars_Episode_III:_Revenge_of_the_Sith,Star Wars: Episode III - Revenge of the Sith
/wiki/20th_Century_Fox,20th Century Fox
#cite_note-66,66
/wiki/2009_no_cinema,2009
